irradiance,voltage,current,power,temperature,mppt_reference_voltage,efficiency,power_deviation,condition,data_origin
914.374,17.4439,1.0476,18.0861,16.991,18.5373,0.9741,0.0259,Normal,synthetic PV simulation; not hardware measurement
526.868,16.8452,0.6239,10.5901,46.125,17.0183,1.0627,-0.0627,Normal,synthetic PV simulation; not hardware measurement
782.751,16.1062,0.9543,15.1343,52.179,16.8723,1.0275,-0.0275,Normal,synthetic PV simulation; not hardware measurement
917.03,18.3076,1.1131,18.2784,20.177,18.3934,0.9878,0.0122,Normal,synthetic PV simulation; not hardware measurement
645.495,17.5298,0.7109,11.7341,18.886,18.3208,0.9046,0.0954,Normal,synthetic PV simulation; not hardware measurement
712.291,18.1474,0.7808,14.4285,32.536,17.739,1.0343,-0.0343,Normal,synthetic PV simulation; not hardware measurement
569.945,16.8343,0.6341,10.4322,49.374,16.8918,0.9731,0.0269,Normal,synthetic PV simulation; not hardware measurement
533.878,17.9942,0.5674,10.0075,41.958,17.2032,0.9819,0.0181,Normal,synthetic PV simulation; not hardware measurement
785.524,18.6256,0.8092,14.0758,23.373,18.1851,0.8963,0.1037,Normal,synthetic PV simulation; not hardware measurement
484.982,17.5436,0.554,9.573,41.523,17.1945,1.035,-0.035,Normal,synthetic PV simulation; not hardware measurement
938.412,16.7731,1.0079,15.4335,50.285,17.0217,0.8671,0.1329,Normal,synthetic PV simulation; not hardware measurement
541.387,18.0989,0.5818,9.6763,27.98,17.846,0.9089,0.0911,Normal,synthetic PV simulation; not hardware measurement
520.804,17.6953,0.5787,10.4074,26.091,17.9163,1.0131,-0.0131,Normal,synthetic PV simulation; not hardware measurement
719.617,16.9093,0.7658,13.37,36.156,17.5783,0.9556,0.0444,Normal,synthetic PV simulation; not hardware measurement
556.064,16.6602,0.6518,10.8025,34.901,17.5414,1.0017,-0.0017,Normal,synthetic PV simulation; not hardware measurement
500.667,17.9828,0.5872,9.9292,29.483,17.7566,1.0132,-0.0132,Normal,synthetic PV simulation; not hardware measurement
552.356,16.5323,0.5692,8.7002,43.319,17.155,0.8269,0.1731,Normal,synthetic PV simulation; not hardware measurement
919.641,16.6857,1.0578,17.2115,61.705,16.5042,1.0125,-0.0125,Normal,synthetic PV simulation; not hardware measurement
648.941,16.4563,0.6963,10.0802,55.793,16.652,0.8354,0.1646,Normal,synthetic PV simulation; not hardware measurement
515.145,16.7137,0.5627,9.1432,52.738,16.7076,0.9526,0.0474,Normal,synthetic PV simulation; not hardware measurement
472.448,15.8933,0.6085,9.9224,54.837,16.5766,1.1346,-0.1346,Normal,synthetic PV simulation; not hardware measurement
759.034,18.1558,0.7646,12.8685,14.38,18.5919,0.8336,0.1664,Normal,synthetic PV simulation; not hardware measurement
899.165,18.1677,0.9701,17.6172,28.744,17.9955,0.9881,0.0119,Normal,synthetic PV simulation; not hardware measurement
506.68,19.5055,0.5967,11.9483,24.771,17.9763,1.1929,-0.1929,Normal,synthetic PV simulation; not hardware measurement
557.561,17.4382,0.5841,9.5709,53.202,16.7083,0.9208,0.0792,Normal,synthetic PV simulation; not hardware measurement
458.362,19.1044,0.4902,9.0327,18.457,18.2235,0.9862,0.0138,Normal,synthetic PV simulation; not hardware measurement
569.865,17.9074,0.6489,11.9528,18.946,18.2786,1.0463,-0.0463,Normal,synthetic PV simulation; not hardware measurement
847.719,19.6332,0.9248,18.1861,13.318,18.6738,1.0505,-0.0505,Normal,synthetic PV simulation; not hardware measurement
